      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   01:42:31  2191      0   01:42:34  1854      0
 24   00:33:53   620      0   02:53:59  1322      0
 23   00:37:51  1540      0   03:14:40  2270      0
 22   00:33:45   370      0   01:14:14  1115      0
 21   00:08:56   617      0   05:10:06  2413      0
 20   01:04:50  1780      0   02:39:23  2139      0
 19   00:20:07   742      0   05:53:21  5649      0
 18   00:10:40   206      0   01:35:08  1989      0
 17   00:19:12   202      0   00:23:29   172      0
 16   00:28:43  1468      0   00:35:44  1346      0
 15   00:05:12  1333      0   00:15:42   449      0
 14   00:05:00   184      0   00:20:47   198      0
 13   00:08:17    78     23   00:15:39   167      0
 12   00:16:46   570      0   01:48:18  2042      0
 11   00:07:30   197      0   00:16:08   571      0
 10   00:33:53  1697      0   03:02:15  4154      0
  9   00:12:51  1971      0   00:16:14  1758      0
  8   00:09:39  2151      0   00:17:58   530      0
  7   00:18:28   746      0   00:27:09   590      0
  6   00:06:14   938      0   00:09:29   979      0
  5   00:14:53   640      0   00:21:45    44     57
  4   00:11:38  3958      0   00:36:07  5588      0
  3   00:14:17   751      0   00:45:30  2989      0
  2   00:08:21   810      0   00:10:46   652      0
  1   00:08:52  4358      0   00:20:36  1828      0
